Year,China,United States,Brazil,Belgium,Czechia,France,Germany,Italy,Netherlands,Poland,Portugal,Romania,Spain,Sweden,United Kingdom,Norway,Turkey,Kazakhstan,Russia,Ukraine,Uzbekistan,Argentina,Canada,Chile,Colombia,Mexico,Venezuela,Indonesia,Japan,Malaysia,South Korea,Taiwan,Thailand,India,Australia,New Zealand,Algeria,Egypt,Nigeria,South Africa,Iran,Kuwait,Saudi Arabia,United Arab Emirates
1990,874,1910,141,48,50,225,351,147,67,103,17,62,90,47,206,21,51,73,879,252,47,44,211,14,24,124,40,99,440,21,94,48,42,306,86,14,22,33,66,90,69,9,58,20
1991,848,1925,143,50,45,237,344,150,69,101,17,51,93,49,213,22,51,75,871,252,48,46,210,14,24,130,41,103,445,26,101,52,46,318,85,14,23,33,70,92,77,3,68,23
1992,877,1964,145,51,44,234,338,149,69,99,18,46,95,47,213,22,53,79,795,220,45,47,216,15,25,131,46,108,455,29,111,54,49,330,87,14,24,34,72,88,81,9,77,22
1993,929,1998,148,49,43,238,335,149,70,101,18,46,91,46,215,24,56,66,751,195,47,48,223,16,26,133,43,119,458,32,125,58,51,338,91,15,24,35,74,94,87,12,80,23
1994,973,2036,156,52,41,231,333,147,70,96,18,43,96,50,216,23,56,58,657,166,46,52,231,17,27,136,50,119,483,32,133,60,57,351,91,15,23,34,72,98,97,14,84,26
1995,1045,2063,162,53,42,240,336,159,73,99,20,47,101,50,217,24,61,52,636,164,43,52,234,18,28,132,47,131,495,34,146,63,62,371,93,15,24,36,73,104,101,15,85,28
1996,1074,2108,170,56,43,251,348,159,77,104,20,48,99,51,226,23,66,45,630,150,44,54,239,20,28,135,50,136,506,38,158,67,69,383,99,16,23,38,76,107,98,14,90,29
1997,1073,2130,179,56,43,244,345,162,75,102,21,45,106,50,219,24,70,39,602,144,45,56,242,23,27,142,50,140,511,44,172,71,71,398,101,16,24,40,79,109,109,15,86,31
1998,1079,2148,183,57,42,252,343,166,75,95,23,41,111,51,221,25,71,39,588,136,47,59,240,24,29,146,52,137,502,42,158,75,66,407,104,16,25,42,80,111,111,17,92,32
1999,1099,2206,187,57,39,252,335,169,74,93,24,36,116,50,222,26,70,36,609,135,50,61,247,25,26,150,58,144,510,42,174,79,71,431,106,17,27,43,83,109,126,18,94,32
2000,1130,2269,188,58,41,255,337,172,75,89,25,36,121,48,223,26,76,36,619,134,51,61,254,25,26,151,59,156,520,48,190,85,72,441,108,17,27,41,87,109,123,19,98,31
2001,1168,2226,191,58,42,260,347,172,77,90,25,37,125,50,224,27,70,35,626,134,51,56,250,25,26,155,55,159,511,51,193,86,74,448,106,17,27,47,91,105,133,20,100,40
2002,1246,2256,196,56,43,261,339,174,78,89,26,38,128,52,221,25,74,40,623,136,53,56,251,26,25,157,67,165,513,52,201,90,82,462,109,17,29,48,94,100,138,20,114,39
2003,1420,2262,199,58,45,268,338,182,80,91,25,40,133,51,224,27,79,43,645,141,51,60,264,26,26,168,63,165,509,56,206,94,89,474,111,17,31,50,98,113,143,21,115,38
2004,1615,2308,211,58,46,271,341,183,81,91,26,39,139,53,222,27,81,51,647,142,51,67,271,28,26,171,61,176,526,60,212,96,96,500,113,18,31,54,99,123,156,24,115,42
2005,1782,2320,216,58,45,273,339,187,80,92,26,39,142,52,223,27,84,51,651,141,48,66,274,28,27,181,64,179,524,66,214,98,99,515,113,17,32,62,105,118,173,27,123,44
2006,1950,2298,224,57,46,268,349,185,79,97,25,40,141,50,219,27,93,61,670,137,49,70,278,30,29,184,65,183,524,66,218,100,101,533,118,17,35,66,106,120,180,25,132,46
2007,2099,2338,236,56,46,265,331,184,79,97,25,40,143,50,211,28,100,66,672,139,48,73,278,31,28,183,66,182,519,73,227,105,105,568,121,17,37,70,110,131,191,25,138,50
2008,2155,2278,250,58,45,266,335,182,78,98,25,40,139,50,209,32,98,70,688,135,50,76,271,30,30,184,66,185,500,76,232,101,108,604,126,18,37,73,113,142,205,28,151,59
2009,2297,2165,242,56,43,255,313,170,77,94,24,35,127,45,196,32,98,63,647,114,46,70,261,30,31,180,63,196,477,72,234,100,108,663,126,18,41,75,111,144,204,29,159,64
2010,2536,2217,267,60,45,263,330,174,83,101,23,35,127,51,204,33,106,69,688,132,49,75,262,31,30,179,75,202,503,73,256,106,118,701,126,19,42,74,127,134,204,29,175,61
2011,2723,2191,271,56,43,258,313,168,77,101,23,36,125,50,189,28,112,77,711,126,50,77,267,34,31,187,67,205,466,76,267,105,118,734,127,18,43,77,139,137,208,28,184,60
2012,2821,2152,282,53,43,258,315,162,77,98,21,35,124,50,194,31,118,74,728,122,44,80,269,37,30,192,69,204,456,77,271,105,126,766,126,19,47,79,140,131,218,29,189,64
2013,2912,2190,294,56,43,259,322,156,75,98,22,32,116,49,191,33,115,82,707,116,44,82,275,38,40,192,76,197,457,87,272,107,136,779,127,19,49,78,143,130,222,30,188,68
2014,2966,2216,303,53,42,249,307,147,71,95,21,32,113,48,180,29,119,65,707,106,41,82,282,35,40,188,66,206,442,89,277,109,136,822,127,21,54,80,147,138,238,27,207,74
2015,2994,2192,297,52,42,253,309,153,72,96,22,32,117,44,182,30,129,55,693,93,39,83,283,36,41,185,64,204,434,85,283,107,136,835,127,21,56,81,145,129,238,33,216,76
2016,2977,2168,287,56,41,248,310,151,74,100,22,32,118,48,179,29,137,64,714,92,42,82,287,38,42,185,59,209,429,88,293,109,139,852,127,21,56,88,150,135,246,36,215,79
2017,3070,2161,292,55,43,247,311,154,74,104,23,33,125,49,176,30,147,66,729,89,44,82,295,38,40,180,56,222,434,85,295,107,139,883,128,21,57,93,152,136,262,34,219,78
2018,3201,2236,288,53,43,246,302,151,73,106,22,34,124,50,175,29,144,76,760,93,46,80,298,39,39,181,42,231,428,94,296,110,136,919,128,20,61,96,160,134,266,34,214,78
2019,3309,2214,293,55,43,243,294,149,72,103,22,33,121,49,170,28,145,77,768,89,47,79,301,40,41,176,36,237,416,96,293,108,137,940,129,21,65,97,157,129,269,36,215,83
2020,3381,2046,286,51,39,217,275,137,70,97,20,32,107,47,154,27,141,70,731,86,44,72,281,38,39,151,29,225,386,88,283,105,125,908,126,21,59,92,159,124,268,38,209,81
